,id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index
67,212502439,2001,3,regular,2001-09-07T20:00:00.000Z,,False,True,26721.0,3914.0,Sam Boyd Stadium,2439,UNLV,Mountain West,28,"[0, 7, 7, 14]",,77,Northwestern,Big Ten,37,"[6, 3, 14, 14]",,
68,212512426,2001,3,regular,2001-09-08T12:00:00.000Z,,False,False,30602.0,3852.0,Navy-Marine Corps Memorial Stadium,2426,Navy,FBS Independents,7,"[0, 0, 0, 7]",,59,Georgia Tech,ACC,70,"[21, 21, 14, 14]",,
69,212510183,2001,3,regular,2001-09-08T12:00:00.000Z,,False,False,35938.0,1964.0,Carrier Dome,183,Syracuse,Big East,21,"[7, 0, 7, 7]",,2116,UCF,FBS Independents,10,"[3, 7, 0, 0]",,
70,212510251,2001,3,regular,2001-09-08T12:00:00.000Z,,False,False,83106.0,3910.0,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,44,"[14, 6, 6, 18]",,153,North Carolina,ACC,14,"[7, 7, 0, 0]",,
71,212510259,2001,3,regular,2001-09-08T12:00:00.000Z,,False,False,53662.0,3799.0,Lane Stadium,259,Virginia Tech,Big East,31,"[7, 10, 14, 0]",,2711,Western Michigan,Mid-American,0,"[0, 0, 0, 0]",,
72,212510275,2001,3,regular,2001-09-08T12:10:00.000Z,,False,False,78506.0,347.0,Camp Randall Stadium,275,Wisconsin,Big Ten,20,"[14, 6, 0, 0]",,278,Fresno State,Western Athletic,32,"[10, 0, 19, 3]",,
73,212510194,2001,3,regular,2001-09-08T12:10:00.000Z,,False,False,102602.0,3861.0,Ohio Stadium,194,Ohio State,Big Ten,28,"[14, 7, 7, 0]",,2006,Akron,Mid-American,14,"[0, 7, 0, 7]",,
74,212512294,2001,3,regular,2001-09-08T12:10:00.000Z,,False,False,58291.0,3793.0,Kinnick Stadium,2294,Iowa,Big Ten,44,"[17, 7, 20, 0]",,193,Miami (OH),Mid-American,19,"[0, 0, 13, 6]",,
75,212510356,2001,3,regular,2001-09-08T12:10:00.000Z,,False,False,45674.0,3832.0,Memorial Stadium,356,Illinois,Big Ten,17,"[0, 3, 0, 14]",,2459,Northern Illinois,Mid-American,12,"[0, 3, 3, 6]",,
76,212512305,2001,3,regular,2001-09-08T12:30:00.000Z,,False,False,43500.0,3833.0,Memorial Stadium,2305,Kansas,Big 12,17,"[3, 7, 0, 7]",,26,UCLA,Pac-10,41,"[7, 20, 7, 7]",,
77,212510238,2001,3,regular,2001-09-08T12:30:00.000Z,,False,True,37318.0,3973.0,Vanderbilt Stadium,238,Vanderbilt,SEC,9,"[3, 3, 0, 3]",,333,Alabama,SEC,12,"[0, 6, 3, 3]",,
78,212510127,2001,3,regular,2001-09-08T13:00:00.000Z,,False,False,73879.0,3936.0,Spartan Stadium,127,Michigan State,Big Ten,35,"[7, 21, 7, 0]",,2117,Central Michigan,Mid-American,21,"[7, 0, 0, 14]",,
79,212510228,2001,3,regular,2001-09-08T13:00:00.000Z,,False,False,78000.0,3836.0,Memorial Stadium,228,Clemson,ACC,38,"[7, 17, 7, 7]",,2747,Wofford,,14,"[14, 0, 0, 0]",,
80,212510277,2001,3,regular,2001-09-08T13:00:00.000Z,,False,False,52995.0,3842.0,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big East,20,"[0, 3, 0, 17]",,195,Ohio,Mid-American,3,"[0, 0, 3, 0]",,
81,212510349,2001,3,regular,2001-09-08T13:00:00.000Z,,False,True,27157.0,3841.0,Blaik Field at Michie Stadium,349,Army,Conference USA,21,[],,2132,Cincinnati,Conference USA,24,[],,
82,212510041,2001,3,regular,2001-09-08T13:00:00.000Z,,False,False,15723.0,,,41,Connecticut,FBS Independents,17,[],,331,Eastern Washington,,35,[],,
83,212510096,2001,3,regular,2001-09-08T13:30:00.000Z,,False,False,61523.0,3683.0,Commonwealth Stadium,96,Kentucky,SEC,28,"[0, 14, 7, 7]",,2050,Ball State,Mid-American,20,"[3, 7, 3, 7]",,
84,212510221,2001,3,regular,2001-09-08T13:30:00.000Z,,False,False,39542.0,,,221,Pittsburgh,Big East,26,"[0, 7, 7, 12]",,58,South Florida,FBS Independents,35,"[14, 0, 14, 7]",,
85,212512005,2001,3,regular,2001-09-08T14:00:00.000Z,,False,False,28525.0,3713.0,Falcon Stadium,2005,Air Force,Mountain West,42,[],,2635,Tennessee Tech,,0,[],,
86,212510135,2001,3,regular,2001-09-08T14:30:00.000Z,,False,False,35089.0,,,135,Minnesota,Big Ten,44,"[3, 17, 10, 14]",,309,Louisiana,Sun Belt,14,"[0, 7, 0, 7]",,
87,212512483,2001,3,regular,2001-09-08T15:30:00.000Z,,False,True,45712.0,3626.0,Autzen Stadium,2483,Oregon,Pac-10,24,"[7, 9, 0, 8]",,254,Utah,Mountain West,10,"[3, 7, 0, 0]",,
88,212510038,2001,3,regular,2001-09-08T15:30:00.000Z,,False,False,40338.0,3726.0,Folsom Field,38,Colorado,Big 12,51,"[21, 14, 9, 7]",,23,San José State,Western Athletic,15,"[0, 9, 0, 6]",,
89,212510002,2001,3,regular,2001-09-08T15:30:00.000Z,,False,True,86063.0,3785.0,Jordan-Hare Stadium,2,Auburn,SEC,27,"[0, 13, 14, 0]",,145,Ole Miss,SEC,21,"[0, 0, 7, 14]",,
90,212512655,2001,3,regular,2001-09-08T15:30:00.000Z,,False,True,19027.0,3493.0,Mercedes-Benz Superdome,2655,Tulane,Conference USA,24,[],,151,East Carolina,Conference USA,51,[],,
